array_index	canonical_run_id	dataset	runner_model_value	model_slug	condition_value	condition_slug	target_value	target_slug	split_index	split_seed	init_seed	output_dir
11	eaip__gin__ea__split01_seed43__init42	eaip	gin	gin			EA vs SHE (eV)	ea	1	43	42	results/year2_corrected_final_2026/eaip/eaip__gin__ea__split01_seed43__init42
12	eaip__gin__ea__split02_seed44__init42	eaip	gin	gin			EA vs SHE (eV)	ea	2	44	42	results/year2_corrected_final_2026/eaip/eaip__gin__ea__split02_seed44__init42
13	eaip__gin__ea__split03_seed45__init42	eaip	gin	gin			EA vs SHE (eV)	ea	3	45	42	results/year2_corrected_final_2026/eaip/eaip__gin__ea__split03_seed45__init42
14	eaip__gin__ea__split04_seed46__init42	eaip	gin	gin			EA vs SHE (eV)	ea	4	46	42	results/year2_corrected_final_2026/eaip/eaip__gin__ea__split04_seed46__init42
15	eaip__gin__ip__split00_seed42__init42	eaip	gin	gin			IP vs SHE (eV)	ip	0	42	42	results/year2_corrected_final_2026/eaip/eaip__gin__ip__split00_seed42__init42
16	eaip__gin__ip__split01_seed43__init42	eaip	gin	gin			IP vs SHE (eV)	ip	1	43	42	results/year2_corrected_final_2026/eaip/eaip__gin__ip__split01_seed43__init42
17	eaip__gin__ip__split02_seed44__init42	eaip	gin	gin			IP vs SHE (eV)	ip	2	44	42	results/year2_corrected_final_2026/eaip/eaip__gin__ip__split02_seed44__init42
18	eaip__gin__ip__split03_seed45__init42	eaip	gin	gin			IP vs SHE (eV)	ip	3	45	42	results/year2_corrected_final_2026/eaip/eaip__gin__ip__split03_seed45__init42
19	eaip__gin__ip__split04_seed46__init42	eaip	gin	gin			IP vs SHE (eV)	ip	4	46	42	results/year2_corrected_final_2026/eaip/eaip__gin__ip__split04_seed46__init42
20	eaip__gat__ea__split00_seed42__init42	eaip	gat	gat			EA vs SHE (eV)	ea	0	42	42	results/year2_corrected_final_2026/eaip/eaip__gat__ea__split00_seed42__init42
21	eaip__gat__ea__split01_seed43__init42	eaip	gat	gat			EA vs SHE (eV)	ea	1	43	42	results/year2_corrected_final_2026/eaip/eaip__gat__ea__split01_seed43__init42
22	eaip__gat__ea__split02_seed44__init42	eaip	gat	gat			EA vs SHE (eV)	ea	2	44	42	results/year2_corrected_final_2026/eaip/eaip__gat__ea__split02_seed44__init42
23	eaip__gat__ea__split03_seed45__init42	eaip	gat	gat			EA vs SHE (eV)	ea	3	45	42	results/year2_corrected_final_2026/eaip/eaip__gat__ea__split03_seed45__init42
24	eaip__gat__ea__split04_seed46__init42	eaip	gat	gat			EA vs SHE (eV)	ea	4	46	42	results/year2_corrected_final_2026/eaip/eaip__gat__ea__split04_seed46__init42
25	eaip__gat__ip__split00_seed42__init42	eaip	gat	gat			IP vs SHE (eV)	ip	0	42	42	results/year2_corrected_final_2026/eaip/eaip__gat__ip__split00_seed42__init42
26	eaip__gat__ip__split01_seed43__init42	eaip	gat	gat			IP vs SHE (eV)	ip	1	43	42	results/year2_corrected_final_2026/eaip/eaip__gat__ip__split01_seed43__init42
27	eaip__gat__ip__split02_seed44__init42	eaip	gat	gat			IP vs SHE (eV)	ip	2	44	42	results/year2_corrected_final_2026/eaip/eaip__gat__ip__split02_seed44__init42
28	eaip__gat__ip__split03_seed45__init42	eaip	gat	gat			IP vs SHE (eV)	ip	3	45	42	results/year2_corrected_final_2026/eaip/eaip__gat__ip__split03_seed45__init42
29	eaip__gat__ip__split04_seed46__init42	eaip	gat	gat			IP vs SHE (eV)	ip	4	46	42	results/year2_corrected_final_2026/eaip/eaip__gat__ip__split04_seed46__init42
30	eaip__wd_published__ea__split00_seed42__init42	eaip	wd-published	wd_published			EA vs SHE (eV)	ea	0	42	42	results/year2_corrected_final_2026/eaip/eaip__wd_published__ea__split00_seed42__init42
31	eaip__wd_published__ea__split01_seed43__init42	eaip	wd-published	wd_published			EA vs SHE (eV)	ea	1	43	42	results/year2_corrected_final_2026/eaip/eaip__wd_published__ea__split01_seed43__init42
32	eaip__wd_published__ea__split02_seed44__init42	eaip	wd-published	wd_published			EA vs SHE (eV)	ea	2	44	42	results/year2_corrected_final_2026/eaip/eaip__wd_published__ea__split02_seed44__init42
33	eaip__wd_published__ea__split03_seed45__init42	eaip	wd-published	wd_published			EA vs SHE (eV)	ea	3	45	42	results/year2_corrected_final_2026/eaip/eaip__wd_published__ea__split03_seed45__init42
34	eaip__wd_published__ea__split04_seed46__init42	eaip	wd-published	wd_published			EA vs SHE (eV)	ea	4	46	42	results/year2_corrected_final_2026/eaip/eaip__wd_published__ea__split04_seed46__init42
35	eaip__wd_published__ip__split00_seed42__init42	eaip	wd-published	wd_published			IP vs SHE (eV)	ip	0	42	42	results/year2_corrected_final_2026/eaip/eaip__wd_published__ip__split00_seed42__init42
36	eaip__wd_published__ip__split01_seed43__init42	eaip	wd-published	wd_published			IP vs SHE (eV)	ip	1	43	42	results/year2_corrected_final_2026/eaip/eaip__wd_published__ip__split01_seed43__init42
37	eaip__wd_published__ip__split02_seed44__init42	eaip	wd-published	wd_published			IP vs SHE (eV)	ip	2	44	42	results/year2_corrected_final_2026/eaip/eaip__wd_published__ip__split02_seed44__init42
38	eaip__wd_published__ip__split03_seed45__init42	eaip	wd-published	wd_published			IP vs SHE (eV)	ip	3	45	42	results/year2_corrected_final_2026/eaip/eaip__wd_published__ip__split03_seed45__init42
39	eaip__wd_published__ip__split04_seed46__init42	eaip	wd-published	wd_published			IP vs SHE (eV)	ip	4	46	42	results/year2_corrected_final_2026/eaip/eaip__wd_published__ip__split04_seed46__init42
40	eaip__wd_published_xn8__ea__split00_seed42__init42	eaip	wd-published-xn8	wd_published_xn8			EA vs SHE (eV)	ea	0	42	42	results/year2_corrected_final_2026/eaip/eaip__wd_published_xn8__ea__split00_seed42__init42
41	eaip__wd_published_xn8__ea__split01_seed43__init42	eaip	wd-published-xn8	wd_published_xn8			EA vs SHE (eV)	ea	1	43	42	results/year2_corrected_final_2026/eaip/eaip__wd_published_xn8__ea__split01_seed43__init42
42	eaip__wd_published_xn8__ea__split02_seed44__init42	eaip	wd-published-xn8	wd_published_xn8			EA vs SHE (eV)	ea	2	44	42	results/year2_corrected_final_2026/eaip/eaip__wd_published_xn8__ea__split02_seed44__init42
43	eaip__wd_published_xn8__ea__split03_seed45__init42	eaip	wd-published-xn8	wd_published_xn8			EA vs SHE (eV)	ea	3	45	42	results/year2_corrected_final_2026/eaip/eaip__wd_published_xn8__ea__split03_seed45__init42
44	eaip__wd_published_xn8__ea__split04_seed46__init42	eaip	wd-published-xn8	wd_published_xn8			EA vs SHE (eV)	ea	4	46	42	results/year2_corrected_final_2026/eaip/eaip__wd_published_xn8__ea__split04_seed46__init42
45	eaip__wd_published_xn8__ip__split00_seed42__init42	eaip	wd-published-xn8	wd_published_xn8			IP vs SHE (eV)	ip	0	42	42	results/year2_corrected_final_2026/eaip/eaip__wd_published_xn8__ip__split00_seed42__init42
46	eaip__wd_published_xn8__ip__split01_seed43__init42	eaip	wd-published-xn8	wd_published_xn8			IP vs SHE (eV)	ip	1	43	42	results/year2_corrected_final_2026/eaip/eaip__wd_published_xn8__ip__split01_seed43__init42
47	eaip__wd_published_xn8__ip__split02_seed44__init42	eaip	wd-published-xn8	wd_published_xn8			IP vs SHE (eV)	ip	2	44	42	results/year2_corrected_final_2026/eaip/eaip__wd_published_xn8__ip__split02_seed44__init42
48	eaip__wd_published_xn8__ip__split03_seed45__init42	eaip	wd-published-xn8	wd_published_xn8			IP vs SHE (eV)	ip	3	45	42	results/year2_corrected_final_2026/eaip/eaip__wd_published_xn8__ip__split03_seed45__init42
49	eaip__wd_published_xn8__ip__split04_seed46__init42	eaip	wd-published-xn8	wd_published_xn8			IP vs SHE (eV)	ip	4	46	42	results/year2_corrected_final_2026/eaip/eaip__wd_published_xn8__ip__split04_seed46__init42
